DepartmentNumber-Numéro-de-Ministère,Fiscal-Year-Année-Fiscale,Payments-Total-Volume-Volume-total-de-paiements,LVTS-Total-Volume-Volume-total-de-STPGV,DD-Total-Volume-Volume-total-de-DD,EDI-Total-Volume-Volume-total-de-ÉDI,Cheques-Total-Volume-Volume-total-de-chèques,Wire-Total-Volume-Volume-total-de-virements,Payments-Total-Amount-Montant-total-de-paiements,LVTS-Total-Amount-Montant-total-de-STPGV,DD-Total-Amount-Montant-total-de-DD,EDI-Total-Amount-Montant-total-de-ÉDI,Cheques-Total-Amount-Montant-total-de-chèques,Redeemed-LVTS-Volume-Volume-de-STPGV-encaissés,Redeemed-DD-Volume-Volume-de-DD-encaissés,Redeemed-EDI-Volume-Volume-de-ÉDI-encaissés,Redeemed-Cheques-Volume-Volume-de-chèques-encaissés,Redeemed-Wire-Volume-Volume-de-virements-encaissés,Redeemed_Total_Vol_AllMethods,Success_Ratio_Overall,Avg_Payment_Size,Share_LVTS_Volume,Share_DD_Volume,Share_EDI_Volume,Share_Cheques_Volume,Share_Wire_Volume
1,2020-2021,105553,8,96852,729,7559,405,2368523249.86,436641555.2,957743514.95,808189318.6500001,152109474.45,6,96429,729,7437,389,104990,0.9946661866550454,22439.184578931912,7.579130863168266e-05,0.9175674779494661,0.0069064829990620824,0.07161331274336115,0.0038369349994789347
2,2020-2021,2834,0,2600,0,217,17,17197309.3,0.0,15907851.88,0.0,1089678.57,0,2568,0,211,17,2796,0.9865913902611151,6068.210762173607,0.0,0.9174311926605505,0.0,0.07657021877205364,0.005998588567395907
4,2020-2021,1710,0,1569,0,135,6,7865065.0,0.0,7191842.61,0.0,617871.88,0,1530,0,127,6,1663,0.9725146198830409,4599.453216374269,0.0,0.9175438596491228,0.0,0.07894736842105263,0.0035087719298245615
5,2020-2021,106551,188,90716,1451,2321,11875,18747440663.95,13356212661.319998,2175035786.37,19357190.04,20728881.99,176,89606,1451,2215,11420,104868,0.9842047470225526,175948.04989113196,0.0017644132856566338,0.851385721391634,0.013617891901530722,0.02178299593621834,0.11144897748496026
6,2020-2021,4274,2749,1239,190,88,8,281662617080.25,281570077683.1,31717241.42,8538739.08,1781148.6500000001,2741,1121,190,71,8,4131,0.9665418811417875,65901407.833469816,0.6431913897987833,0.28989237248479177,0.04445484323818437,0.020589611605053813,0.0018717828731867104
7,2020-2021,30771,3,28159,258,1923,428,781429561.37,103462763.4,534876451.18,32134847.92,55329965.6,1,27943,258,1890,382,30474,0.9903480549868383,25395.00053199441,9.749439407234084e-05,0.9151148808943486,0.008384517890221313,0.06249390660037048,0.013909200220987293
8,2020-2021,760,0,699,0,55,6,5594903.54,0.0,5457605.0,0.0,99582.71,0,678,0,52,6,736,0.968421052631579,7361.715184210527,0.0,0.9197368421052632,0.0,0.07236842105263158,0.007894736842105263
9,2020-2021,4154,0,3707,0,442,5,26384049.189999998,0.0,23819723.58,0.0,2502721.98,0,3686,0,420,5,4111,0.9896485315358691,6351.480305729417,0.0,0.8923928743379875,0.0,0.10640346653827636,0.001203659123736158
11,2020-2021,3907,0,3499,0,373,35,38773249.46,0.0,34440957.17,0.0,2440050.66,0,3374,0,358,35,3767,0.9641668799590478,9924.04644484259,0.0,0.8955720501663681,0.0,0.0954696698233939,0.008958280010238035
12,2020-2021,8193,3,7859,0,331,0,698775791.52,156000000.0,538598777.04,0.0,4177014.48,1,7715,0,322,0,8038,0.9810814109605761,85289.36793848407,0.0003661662394727206,0.9592334920053704,0.0,0.04040034175515684,0.0
13,2020-2021,14677,0,12199,879,1538,61,846524417.35,0.0,502364152.95,288872671.54,54453995.77,0,12128,879,1377,47,14431,0.9832390815561763,57676.937885807725,0.0,0.831164406895142,0.05988962322000409,0.10478980718130408,0.004156162703549772
14,2020-2021,224711003,118,217396274,0,7314536,75,231617465668.23,50956732486.69,172882016682.66,0.0,7774502657.01,114,216465432,0,6999513,75,223465134,0.9944556831513942,1030.7348664552487,5.251189235268555e-07,0.9674482828951638,0.0,0.03255085822388502,3.337620276653743e-07
15,2020-2021,23640,0,19462,215,3963,0,158458638.01,0.0,109582535.31,33075928.060000002,15800174.64,0,19167,215,3263,0,22645,0.9579103214890017,6702.988071489001,0.0,0.8232656514382403,0.009094754653130288,0.16763959390862945,0.0
16,2020-2021,1154,0,1026,0,83,45,18118442.09,0.0,17423801.78,0.0,59800.979999999996,0,1006,0,82,41,1129,0.9783362218370883,15700.556403812825,0.0,0.8890814558058926,0.0,0.07192374350086655,0.0389948006932409
17,2020-2021,797,0,744,0,38,15,6634500.71,0.0,6198984.26,0.0,67440.55,0,726,0,34,15,775,0.972396486825596,8324.3421706399,0.0,0.9335006273525721,0.0,0.04767879548306148,0.018820577164366373
18,2020-2021,4828484,21,4711157,11883,81326,24097,21840985248.48,894417229.74,14405903319.96,2498395076.84,1266394006.3,17,4697569,11870,78826,23715,4811997,0.9965854707191739,4523.362870930089,4.34919117470411e-06,0.9757010689069281,0.0024610208918575687,0.01684296768923745,0.00499059332080214
19,2020-2021,10091,0,8142,156,1788,5,57438325.39,0.0,52928579.41,2086879.3,2389827.88,0,8064,156,1752,5,9977,0.988702804479239,5692.035020315132,0.0,0.8068575958775146,0.015459320186304628,0.17718759290456843,0.0004954910316123278
21,2020-2021,2131973,0,2006671,92,125175,35,4941246119.190001,0.0,3666565523.88,1028464880.38,243725150.44,0,1992923,92,121129,29,2114173,0.9916509261608848,2317.687005975217,0.0,0.9412272106635496,4.315251647183149e-05,0.05871322010175551,1.641671822297937e-05
22,2020-2021,26918,17,24165,111,2376,249,2267584817.33,1208412121.02,890135157.37,137403810.69,25726277.82,11,23920,111,2286,240,26568,0.986997548109072,84240.46427409169,0.0006315476632736458,0.8977264284122148,0.004123634742551453,0.0882680734081284,0.009250315773831636
23,2020-2021,12803,0,12470,0,329,4,500150715.21000004,0.0,495251979.02,0.0,4867823.3,0,12284,0,320,4,12608,0.9847691947199875,39065.1187385769,0.0,0.9739904709833632,0.0,0.02569710224166211,0.00031242677497461533
24,2020-2021,382,0,304,0,78,0,2621196.01,0.0,1939247.86,0.0,681948.15,0,292,0,66,0,358,0.93717277486911,6861.769659685863,0.0,0.7958115183246073,0.0,0.20418848167539266,0.0
25,2020-2021,2830,0,2225,23,554,28,37841097.19,0.0,29772823.32,965082.01,5944679.25,0,2110,23,502,27,2662,0.9406360424028268,13371.412434628974,0.0,0.7862190812720848,0.00812720848056537,0.19575971731448763,0.009893992932862191
27,2020-2021,6953,0,6024,0,922,7,1168700261.6100001,0.0,1063845902.01,0.0,104287646.52000001,0,5925,0,892,7,6824,0.981446857471595,168085.75602042285,0.0,0.8663886092334244,0.0,0.13260463109449158,0.0010067596720839925
30,2020-2021,501787,1,445621,146,55595,424,2455035756.95,36586159.01,1688475489.68,197382135.32,520892126.64,1,443679,145,54242,416,498483,0.9934155328854674,4892.58541363168,1.992877455972355e-06,0.8880680448078567,0.0002909601085719638,0.11079402216478307,0.0008449800413322785
32,2020-2021,13602,0,12275,0,1321,6,25802255.63,0.0,21900650.98,0.0,3848938.39,0,12144,0,1214,6,13364,0.9825025731510072,1896.9457160711659,0.0,0.9024408175268342,0.0,0.0971180708719306,0.0004411116012351125
33,2020-2021,19178,16,16475,612,1663,412,10004853791.64,8235268439.0,1347362479.79,396182580.92,4158387.5100000002,14,16419,611,1637,405,19086,0.9952028365835853,521683.89778079046,0.0008342892898112421,0.8590572531025134,0.03191156533528001,0.08671394305975597,0.021482949212639484
34,2020-2021,51414,27,47356,519,3430,82,2698683024.71,1436975933.1,764119080.91,290109192.76,44637610.4,27,46994,516,3302,76,50915,0.9902944723227136,52489.264105302056,0.0005251487921577781,0.9210720815342125,0.0100945267825884,0.06671334655930292,0.001594896331738437
35,2020-2021,58599,0,49459,111,6316,2713,1133428683.47,0.0,924294864.5,52974225.81,100593410.85,0,48951,111,6096,2610,57768,0.9858188706291916,19342.116477584943,0.0,0.8440246420587382,0.0018942302769671838,0.10778340927319578,0.04629771839109882
36,2020-2021,254,0,20,0,234,0,83506.99,0.0,9187.3,0.0,74319.69,0,9,0,83,0,92,0.36220472440944884,328.76767716535437,0.0,0.07874015748031496,0.0,0.9212598425196851,0.0
37,2020-2021,4636,0,3771,0,729,136,130794935.88,0.0,113531245.5,0.0,12522389.83,0,3630,0,708,128,4466,0.9633304572907679,28212.885220017255,0.0,0.8134167385677308,0.0,0.15724762726488353,0.029335634167385678
38,2020-2021,155939,0,130888,0,25051,0,397276972.32,0.0,4301794.06,0.0,392975178.26,0,130883,0,24053,0,154936,0.9935679977427071,2547.6434523756084,0.0,0.8393538499028467,0.0,0.16064615009715338,0.0
39,2020-2021,8409,0,7258,0,1056,95,25911684.17,0.0,23239820.1,0.0,2460417.04,0,7021,0,964,85,8070,0.9596860506600071,3081.4227815435843,0.0,0.8631228445712926,0.0,0.12557973599714592,0.011297419431561422
40,2020-2021,559,0,470,5,79,5,3149890.63,0.0,2915489.3,1991.92,217317.88,0,460,5,73,5,543,0.9713774597495528,5634.866958855098,0.0,0.8407871198568873,0.008944543828264758,0.1413237924865832,0.008944543828264758
41,2020-2021,14289,5,12703,194,1074,313,1740494873.49,912990000.0,549415882.86,257783586.75,7389477.77,5,12607,194,1035,297,14138,0.9894324305409756,121806.6256204073,0.0003499195185107425,0.8890055287283924,0.01357687731821681,0.0751627125761075,0.02190496185877248
42,2020-2021,9787,25,7322,0,2439,1,4245503273.5499997,2663644417.05,1537170055.08,0.0,44678801.42,25,7253,0,2287,1,9566,0.9774190252375601,433790.0555379585,0.0025544089097782772,0.7481352814958618,0.0,0.24920813323796873,0.00010217635639113109
43,2020-2021,410,0,398,0,12,0,1320349.97,0.0,1142527.6,0.0,177822.37,0,386,0,12,0,398,0.9707317073170731,3220.365780487805,0.0,0.9707317073170731,0.0,0.02926829268292683,0.0
44,2020-2021,7780,3,7719,0,50,8,831800116.4399999,84911111.0,745579938.83,0.0,824987.52,3,7617,0,45,8,7673,0.9862467866323907,106915.18206169664,0.00038560411311053987,0.992159383033419,0.0,0.006426735218508998,0.0010282776349614395
46,2020-2021,180,0,179,0,1,0,878361.65,0.0,831861.65,0.0,46500.0,0,161,0,1,0,162,0.9,4879.786944444445,0.0,0.9944444444444445,0.0,0.005555555555555556,0.0
47,2020-2021,2930,0,2569,11,276,74,26161036.6,0.0,20687088.310000002,942347.5499999999,2763467.73,0,2519,11,258,74,2862,0.9767918088737202,8928.6814334471,0.0,0.8767918088737201,0.0037542662116040954,0.09419795221843004,0.025255972696245733
50,2020-2021,55309,4,38126,14,16719,446,2010924929.6999998,591622000.0,1355109135.6,5851393.27,33546500.17,4,37521,14,14312,373,52224,0.9442224592742592,36358.00556328988,7.232096042235441e-05,0.689327234265671,0.0002531233614782404,0.30228353432533583,0.008063787087092517
51,2020-2021,22548,0,22042,0,505,1,159381426.67,0.0,147473563.21,0.0,11900859.82,0,21841,0,490,1,22332,0.9904204364023417,7068.539412364732,0.0,0.9775589852758559,0.0,0.022396664892673408,4.434983147064041e-05
52,2020-2021,1377,0,1095,12,257,13,9422721.33,0.0,7201095.93,556239.29,1546451.33,0,1071,12,247,13,1343,0.9753086419753086,6842.934880174292,0.0,0.7952069716775599,0.008714596949891068,0.18663761801016704,0.00944081336238199
53,2020-2021,134970,0,115008,8,19954,0,727730484.38,0.0,634830953.19,5230.7300000000005,92894300.46,0,114137,8,19367,0,133512,0.9891975994665482,5391.794357116396,0.0,0.8521004667703934,5.927243091057272e-05,0.147840260798696,0.0
54,2020-2021,7291,0,6275,0,883,133,81393323.41,0.0,68472614.99,0.0,10681154.41,0,5932,0,847,121,6900,0.9463722397476341,11163.533590728295,0.0,0.8606501165820875,0.0,0.12110821560828419,0.01824166780962831
56,2020-2021,8518,768,7394,21,302,33,2029666220.56,1848224312.24,159444964.12,17604401.92,3450587.1799999997,768,7250,21,291,31,8361,0.9815684432965485,238279.66900211317,0.09016200986146983,0.868044141817328,0.0024653674571495656,0.035454332002817564,0.0038741488612350316
57,2020-2021,1457,0,1192,0,265,0,2490877.44,0.0,1969981.89,0.0,520895.55,0,1164,0,241,0,1405,0.9643102264927934,1709.5933013040494,0.0,0.8181194234728895,0.0,0.1818805765271105,0.0
61,2020-2021,4537,1,4037,0,483,16,1335877432.13,25478390.3,1297181656.58,0.0,13024836.68,1,3978,0,444,14,4437,0.9779590037469693,294440.69476085523,0.00022040996253030638,0.8897950187348468,0.0,0.10645801190213798,0.003526559400484902
62,2020-2021,4459,1,4376,13,65,4,663029774.42,26769334.0,635622034.21,201237.91,272485.2,1,4359,13,63,4,4440,0.9957389549226284,148694.7240233236,0.00022426553038797938,0.9813859609777977,0.0029154518950437317,0.014577259475218658,0.0008970621215519175
63,2020-2021,6486,1,5950,0,535,0,2021133143.73,41554171.0,1940148129.6,0.0,39430843.129999995,1,5740,0,504,0,6245,0.9628430465618255,311614.7307631822,0.0001541782300339192,0.9173604687018193,0.0,0.08248535306814678,0.0
66,2020-2021,3,0,3,0,0,0,12870.64,0.0,12870.64,0.0,0.0,0,3,0,0,0,3,1.0,4290.213333333333,0.0,1.0,0.0,0.0,0.0
67,2020-2021,52362,0,34578,0,17768,16,122203057.78,0.0,101754918.83,0.0,19006400.92,0,33965,0,17365,16,51346,0.9805966158664681,2333.8118822810434,0.0,0.6603643863870746,0.0,0.3393300485084603,0.0003055651044650701
74,2020-2021,2,0,2,0,0,0,1135.32,0.0,1135.32,0.0,0.0,0,1,0,0,0,1,0.5,567.66,0.0,1.0,0.0,0.0,0.0
75,2020-2021,965,0,929,0,21,15,5348894.79,0.0,5150278.1,0.0,64932.43,0,867,0,17,15,899,0.9316062176165804,5542.896155440415,0.0,0.9626943005181348,0.0,0.021761658031088083,0.015544041450777202
76,2020-2021,1170,2,1155,0,13,0,2884843.16,61.12,2862193.73,0.0,22588.31,0,1145,0,9,0,1154,0.9863247863247864,2465.6779145299147,0.0017094017094017094,0.9871794871794872,0.0,0.011111111111111112,0.0
77,2020-2021,1,0,0,0,1,0,1088.12,0.0,0.0,0.0,1088.12,0,0,0,1,0,1,1.0,1088.12,0.0,0.0,0.0,1.0,0.0
78,2020-2021,2580,0,2486,0,94,0,88936963.0,0.0,87849999.11,0.0,1086963.89,0,2200,0,93,0,2293,0.8887596899224807,34471.69108527132,0.0,0.9635658914728682,0.0,0.03643410852713178,0.0
79,2020-2021,11473958,18,11428011,187,45742,0,24174391165.02,854332479.94,21082177927.11,275928954.8,1961951803.17,18,11338598,187,38744,0,11377547,0.991597406927932,2106.892073774368,1.5687699048575914e-06,0.9959955405100838,1.629777623379831e-05,0.003986592943777552,0.0
80,2020-2021,1731,0,1494,12,210,15,6125281.37,0.0,5316695.36,379785.76,341417.55,0,1442,12,207,15,1676,0.9682264586943963,3538.579647602542,0.0,0.8630849220103987,0.006932409012131715,0.12131715771230503,0.008665511265164644
85,2020-2021,62608,0,50855,0,11686,67,493490916.33000004,0.0,407807508.58,0.0,81419606.26,0,50558,0,10966,55,61579,0.9835644007155635,7882.234160650397,0.0,0.8122763864042933,0.0,0.1866534628162535,0.001070150779453105
86,2020-2021,74536,4,51234,0,23007,291,1625711852.41,103424168.78,1214585347.84,0.0,290761345.36,2,50848,0,22528,271,73649,0.9880997102071483,21811.096012799186,5.366534292154127e-05,0.6873725448105613,0.0,0.30866963614897497,0.0039041536975421274
87,2020-2021,3381419,40,3326991,0,54388,0,10060170685.449999,2517613496.46,6862341134.03,0.0,680216054.96,40,3315543,0,51929,0,3367512,0.9958872295920737,2975.1328319412646,1.1829353298127207e-05,0.9839037989672383,0.0,0.016084371679463562,0.0
88,2020-2021,4333,4,3649,38,606,36,586858365.45,195475221.0,366702396.32,1475695.55,20790771.35,4,3588,38,598,36,4264,0.9840756981306255,135439.27197092085,0.0009231479344564967,0.842141703207939,0.008769905377336719,0.13985691207015924,0.00830833141010847
91,2020-2021,26,24,0,2,0,0,6453324844.0,6453324839.98,0.0,4.02,0.0,22,0,2,0,0,24,0.9230769230769231,248204801.69230768,0.9230769230769231,0.0,0.07692307692307693,0.0,0.0
95,2020-2021,17420,0,14186,0,3060,174,239810016.09,0.0,173331582.74,0.0,49850162.15,0,14108,0,2987,163,17258,0.9907003444316878,13766.361428817452,0.0,0.8143513203214696,0.0,0.1756601607347876,0.009988518943742824
96,2020-2021,1549,0,1451,0,76,22,9275781.55,0.0,8777216.64,0.0,220019.36000000002,0,1388,0,75,20,1483,0.9573918657198193,5988.23857327308,0.0,0.9367333763718528,0.0,0.04906391220142027,0.014202711426726921
100,2020-2021,559,0,531,0,13,15,1731233.92,0.0,1571193.07,0.0,68046.51999999999,0,513,0,13,15,541,0.9677996422182469,3097.019534883721,0.0,0.9499105545617174,0.0,0.023255813953488372,0.026833631484794274
101,2020-2021,1010,0,947,0,63,0,4520092.82,0.0,3766566.65,0.0,753526.1699999999,0,928,0,56,0,984,0.9742574257425742,4475.339425742574,0.0,0.9376237623762376,0.0,0.062376237623762376,0.0
102,2020-2021,1384,0,1233,46,105,0,2609482.27,0.0,2052497.38,136001.13999999998,420983.75,0,1221,46,101,0,1368,0.9884393063583815,1885.4640679190752,0.0,0.8908959537572254,0.033236994219653176,0.07586705202312138,0.0
103,2020-2021,16,0,0,0,16,0,146126.94,0.0,0.0,0.0,146126.94,0,0,0,15,0,15,0.9375,9132.93375,0.0,0.0,0.0,1.0,0.0
109,2020-2021,353,0,283,1,45,24,3482602.79,0.0,2729614.64,5151.02,259960.74,0,281,1,41,24,347,0.9830028328611898,9865.730283286119,0.0,0.8016997167138811,0.0028328611898017,0.1274787535410765,0.0679886685552408
116,2020-2021,253,0,184,0,69,0,266993.5,0.0,255219.30000000002,0.0,11774.2,0,184,0,69,0,253,1.0,1055.310276679842,0.0,0.7272727272727273,0.0,0.2727272727272727,0.0
119,2020-2021,3797,0,3111,0,554,132,243479644.23,0.0,189458302.57,0.0,9435304.35,0,3074,0,545,132,3751,0.9878851725046089,64124.21496707927,0.0,0.8193310508296023,0.0,0.14590466157492757,0.03476428759547011
122,2020-2021,160096064,521,133371339,0,26724165,39,303757922781.37,16445413829.71,212793996729.55,0.0,74518127975.84,517,132254133,0,25809973,39,158064662,0.9873113557620005,1897.3478497345818,3.2542961206091863e-06,0.8330706931058592,0.0,0.16692580899427983,2.436037403143153e-07
123,2020-2021,165,165,0,0,0,0,59542738764.799995,59542738764.799995,0.0,0.0,0.0,163,0,0,0,0,163,0.9878787878787879,360865083.42303026,1.0,0.0,0.0,0.0,0.0
124,2020-2021,42056,0,38824,16,3097,119,591797053.71,0.0,559008547.8000001,439754.85,30190529.25,0,38105,16,2928,107,41156,0.9785999619554879,14071.643848915732,0.0,0.9231500856001522,0.00038044512079132587,0.07363990869317101,0.002829560585885486
127,2020-2021,100465,14,93022,1983,5154,292,6834915355.13,212319363.22,6146221718.3,362787351.96,104940289.58,10,92710,1971,5032,282,100005,0.9954212909968646,68032.80102652665,0.00013935201313890408,0.925914497586224,0.019738217289603344,0.051301448265565125,0.002906484845468571
130,2020-2021,41213,0,34035,0,7108,70,521687163.92,0.0,471151929.79,0.0,47913138.699999996,0,33793,0,6087,66,39946,0.9692572731904981,12658.315675151045,0.0,0.8258316550602965,0.0,0.17246985174580837,0.0016984931938951301
133,2020-2021,3157,0,2492,12,628,25,14613807.67,0.0,6538356.32,644350.75,7043493.95,0,2464,12,617,23,3116,0.987012987012987,4629.0173170731705,0.0,0.7893569844789357,0.003801076971808679,0.19892302819132088,0.007918910357934749
134,2020-2021,18666,0,15961,0,2703,2,728124503.62,0.0,623404824.79,0.0,104711409.23,0,14882,0,2627,2,17511,0.9381227900996464,39008.06298189221,0.0,0.855084110146791,0.0,0.1448087431693989,0.00010714668381013607
135,2020-2021,30841,50,30109,4,594,84,3881056614.86,2081532439.0,1743150813.62,2442.06,45557939.06,48,29750,4,532,82,30416,0.9862196426834409,125840.81627897928,0.0016212185078304854,0.9762653610453617,0.00012969748062643884,0.019260075873026167,0.0027236470931552154
136,2020-2021,29733,0,28084,144,1344,161,113547848.57000001,0.0,83242190.21,23851439.23,4902812.76,0,27854,144,1180,157,29335,0.9866141997107591,3818.9166437964554,0.0,0.9445397369925672,0.004843103622237917,0.045202300474220566,0.005414858910974338
137,2020-2021,502,0,502,0,0,0,880019.11,0.0,880019.11,0.0,0.0,0,498,0,0,0,498,0.9920318725099602,1753.0261155378487,0.0,1.0,0.0,0.0,0.0
138,2020-2021,232,0,199,0,33,0,478999.81,0.0,454976.44,0.0,24023.37,0,198,0,33,0,231,0.9956896551724138,2064.6543534482757,0.0,0.8577586206896551,0.0,0.14224137931034483,0.0
139,2020-2021,1068,0,988,0,71,9,8293458.99,0.0,7373214.22,0.0,491194.24,0,966,0,69,7,1042,0.9756554307116105,7765.4110393258425,0.0,0.9250936329588015,0.0,0.06647940074906367,0.008426966292134831
141,2020-2021,675,0,652,0,21,2,10160102.1,0.0,10087664.88,0.0,52438.42,0,639,0,20,2,661,0.9792592592592593,15052.003111111111,0.0,0.965925925925926,0.0,0.03111111111111111,0.002962962962962963
142,2020-2021,3482,53,3150,159,115,5,6484497957.72,4134633493.6099997,1990153452.25,342312673.59,17309844.62,51,3110,159,111,5,3436,0.9867892016082711,1862291.19980471,0.015221137277426766,0.9046524985640436,0.0456634118322803,0.03302699597932223,0.0014359563469270534
143,2020-2021,1,0,0,0,1,0,80.0,0.0,0.0,0.0,80.0,0,0,0,1,0,1,1.0,80.0,0.0,0.0,0.0,1.0,0.0
144,2020-2021,3572,0,3146,0,420,6,23282481.0,0.0,21291632.77,0.0,1885569.93,0,3111,0,301,6,3418,0.9568868980963046,6518.051791713326,0.0,0.8807390817469205,0.0,0.11758118701007839,0.0016797312430011197
145,2020-2021,1334,0,1252,0,73,9,24190585.53,0.0,23089917.62,0.0,677943.39,0,1234,0,73,9,1316,0.9865067466266867,18133.872211394304,0.0,0.9385307346326837,0.0,0.05472263868065967,0.006746626686656672
147,2020-2021,155,0,147,0,8,0,423322.34,0.0,397770.05,0.0,25552.29,0,147,0,6,0,153,0.9870967741935484,2731.111870967742,0.0,0.9483870967741935,0.0,0.05161290322580645,0.0
148,2020-2021,16113,29,13880,443,1520,241,8064593886.16,1715419536.32,3702492610.7599998,61778002.57000001,200431849.72,23,13705,426,1460,223,15837,0.9828709737479054,500502.3202482468,0.0017997889902563147,0.8614162477502637,0.027493328368398188,0.09433376776515857,0.014956867125923168
149,2020-2021,1,0,0,0,1,0,68.06,0.0,0.0,0.0,68.06,0,0,0,1,0,1,1.0,68.06,0.0,0.0,0.0,1.0,0.0
151,2020-2021,60,0,45,0,15,0,84226.52,0.0,43054.969999999994,0.0,41171.55,0,44,0,15,0,59,0.9833333333333333,1403.7753333333335,0.0,0.75,0.0,0.25,0.0
154,2020-2021,155,0,152,0,3,0,960813.78,0.0,907466.94,0.0,53346.840000000004,0,142,0,3,0,145,0.9354838709677419,6198.798580645162,0.0,0.9806451612903225,0.0,0.01935483870967742,0.0
163,2020-2021,21160,8,18261,1606,1010,275,2399654835.59,96637904.74,2143275994.03,19584016.87,84097730.97,6,18183,1606,946,265,21006,0.9927221172022684,113405.23797684311,0.0003780718336483932,0.8629962192816635,0.07589792060491493,0.04773156899810964,0.012996219281663515
165,2020-2021,6792,0,6350,12,234,196,501108018.86,0.0,399317289.31,9390522.03,20413669.63,0,6149,12,218,196,6575,0.9680506478209658,73779.15472025913,0.0,0.9349234393404005,0.0017667844522968198,0.03445229681978799,0.028857479387514724
170,2020-2021,3261,0,3079,0,182,0,12313049.41,0.0,11821882.05,0.0,491167.36,0,3029,0,177,0,3206,0.9831340079730144,3775.8507850352653,0.0,0.9441888991107023,0.0,0.05581110088929776,0.0
171,2020-2021,822,0,801,0,21,0,10691432.33,0.0,10636972.11,0.0,54460.22,0,743,0,20,0,763,0.9282238442822385,13006.608673965937,0.0,0.9744525547445255,0.0,0.025547445255474453,0.0
176,2020-2021,1221,0,1028,0,192,1,7127823.99,0.0,6674419.3,0.0,439320.8,0,952,0,189,1,1142,0.9352989352989353,5837.693685503686,0.0,0.8419328419328419,0.0,0.15724815724815724,0.000819000819000819
180,2020-2021,820,0,681,0,110,29,30330456.08,0.0,25559297.94,0.0,2872692.81,0,646,0,104,28,778,0.948780487804878,36988.36107317073,0.0,0.8304878048780487,0.0,0.13414634146341464,0.03536585365853658
183,2020-2021,104,0,102,0,2,0,325656.26,0.0,309728.36,0.0,15927.9,0,102,0,2,0,104,1.0,3131.3101923076924,0.0,0.9807692307692307,0.0,0.019230769230769232,0.0
190,2020-2021,2157,0,2108,0,47,2,171727726.41,0.0,171641368.98,0.0,77307.31,0,2028,0,47,2,2077,0.9629114510894762,79614.15225312934,0.0,0.9772832637923041,0.0,0.021789522484932777,0.0009272137227630969
191,2020-2021,164342,47,131117,967,32207,4,16505218862.32,2324847762.14,13914458201.640001,8505534.6,257185663.39000002,45,130210,966,31238,4,162463,0.9885665259032992,100432.14067201324,0.00028598897421231335,0.7978301347190615,0.0058840710226235535,0.19597546579693567,2.433948716700539e-05
192,2020-2021,53,0,43,8,2,0,97830.13,0.0,83706.13,13091.48,1032.52,0,42,8,2,0,52,0.9811320754716981,1845.8515094339623,0.0,0.8113207547169812,0.1509433962264151,0.03773584905660377,0.0
193,2020-2021,13,0,9,1,3,0,4305872.68,0.0,4293660.59,35.53,12176.560000000001,0,8,1,3,0,12,0.9230769230769231,331220.97538461536,0.0,0.6923076923076923,0.07692307692307693,0.23076923076923078,0.0
195,2020-2021,2269,0,1963,0,306,0,21964978.64,0.0,18934918.87,0.0,3030059.77,0,1841,0,294,0,2135,0.9409431467606876,9680.466566769503,0.0,0.8651388276773909,0.0,0.13486117232260908,0.0
196,2020-2021,331,0,300,10,21,0,1941404.3900000001,0.0,1486165.8699999999,138512.4,316726.12,0,262,8,19,0,289,0.8731117824773413,5865.270060422961,0.0,0.9063444108761329,0.030211480362537766,0.0634441087613293,0.0
197,2020-2021,80,0,79,0,1,0,292011.63,0.0,267603.63,0.0,24408.0,0,73,0,1,0,74,0.925,3650.145375,0.0,0.9875,0.0,0.0125,0.0
199,2020-2021,117,0,115,0,2,0,938119.37,0.0,933101.94,0.0,5017.429999999999,0,91,0,2,0,93,0.7948717948717948,8018.114273504273,0.0,0.9829059829059829,0.0,0.017094017094017096,0.0
504,2020-2021,82138,0,30086,0,52052,0,126464293.17999999,0.0,40288651.52,0.0,86175641.66,0,27089,0,48976,0,76065,0.9260634541868563,1539.6563488275829,0.0,0.36628600647690474,0.0,0.6337139935230953,0.0
